01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2009,Funchal,Município,Homens,,,, euros,966.1
2009,Funchal,Município,Mulheres,,,, euros,771.8
2009,Funchal,Município,Total,,,, euros,871.4
2009,Fundão,Município,Homens,,,, euros,668.7
2009,Fundão,Município,Mulheres,,,, euros,628.8
2009,Fundão,Município,Total,,,, euros,651.3
2009,Gavião,Município,Homens,,,, euros,660.8
2009,Gavião,Município,Mulheres,,,, euros,584.3
2009,Gavião,Município,Total,,,, euros,617.4
2009,Góis,Município,Homens,,,, euros,615.0
2009,Góis,Município,Mulheres,,,, euros,574.1
2009,Góis,Município,Total,,,, euros,591.9
2009,Golegã,Município,Homens,,,, euros,700.5
2009,Golegã,Município,Mulheres,,,, euros,606.5
2009,Golegã,Município,Total,,,, euros,653.3
2009,Gondomar,Município,Homens,,,, euros,733.2
2009,Gondomar,Município,Mulheres,,,, euros,652.3
2009,Gondomar,Município,Total,,,, euros,700.7
2009,Gouveia,Município,Homens,,,, euros,644.7
2009,Gouveia,Município,Mulheres,,,, euros,609.6
2009,Gouveia,Município,Total,,,, euros,626.7
2009,Grândola,Município,Homens,,,, euros,785.2
2009,Grândola,Município,Mulheres,,,, euros,630.5
2009,Grândola,Município,Total,,,, euros,708.9
2009,Guarda,Município,Homens,,,, euros,750.6
2009,Guarda,Município,Mulheres,,,, euros,659.3
2009,Guarda,Município,Total,,,, euros,709.9
2009,Guimarães,Município,Homens,,,, euros,714.4
2009,Guimarães,Município,Mulheres,,,, euros,613.4
2009,Guimarães,Município,Total,,,, euros,668.0
2009,Horta,Município,Homens,,,, euros,782.3
2009,Horta,Município,Mulheres,,,, euros,720.8
2009,Horta,Município,Total,,,, euros,753.7
2009,Idanha-a-Nova,Município,Homens,,,, euros,680.4
2009,Idanha-a-Nova,Município,Mulheres,,,, euros,596.0
2009,Idanha-a-Nova,Município,Total,,,, euros,641.8
2009,Ílhavo,Município,Homens,,,, euros,904.4
2009,Ílhavo,Município,Mulheres,,,, euros,666.8
2009,Ílhavo,Município,Total,,,, euros,793.5
2009,Lagoa,Município,Homens,,,, euros,855.6
2009,Lagoa,Município,Mulheres,,,, euros,717.6
2009,Lagoa,Município,Total,,,, euros,790.8
2009,Lagoa [R.A.A.],Município,Homens,,,, euros,714.5
2009,Lagoa [R.A.A.],Município,Mulheres,,,, euros,694.2
2009,Lagoa [R.A.A.],Município,Total,,,, euros,707.2
2009,Lagos,Município,Homens,,,, euros,790.9
2009,Lagos,Município,Mulheres,,,, euros,672.5
2009,Lagos,Município,Total,,,, euros,732.7
2009,Lajes das Flores,Município,Homens,,,, euros,755.4
2009,Lajes das Flores,Município,Mulheres,,,, euros,681.5
2009,Lajes das Flores,Município,Total,,,, euros,710.5
2009,Lajes do Pico,Município,Homens,,,, euros,797.4
2009,Lajes do Pico,Município,Mulheres,,,, euros,611.2
2009,Lajes do Pico,Município,Total,,,, euros,687.9
2009,Lamego,Município,Homens,,,, euros,687.2
2009,Lamego,Município,Mulheres,,,, euros,632.6
2009,Lamego,Município,Total,,,, euros,662.8
2009,Leiria,Município,Homens,,,, euros,870.1
2009,Leiria,Município,Mulheres,,,, euros,704.6
2009,Leiria,Município,Total,,,, euros,803.0
2009,Lisboa,Município,Homens,,,, euros,1384.3
2009,Lisboa,Município,Mulheres,,,, euros,1070.0
2009,Lisboa,Município,Total,,,, euros,1232.2
2009,Loulé,Município,Homens,,,, euros,847.9
2009,Loulé,Município,Mulheres,,,, euros,726.1
2009,Loulé,Município,Total,,,, euros,795.4
2009,Loures,Município,Homens,,,, euros,970.5
2009,Loures,Município,Mulheres,,,, euros,768.8
2009,Loures,Município,Total,,,, euros,893.8
2009,Lourinhã,Município,Homens,,,, euros,726.2
2009,Lourinhã,Município,Mulheres,,,, euros,602.9
2009,Lourinhã,Município,Total,,,, euros,670.8
2009,Lousã,Município,Homens,,,, euros,721.7
2009,Lousã,Município,Mulheres,,,, euros,647.8
2009,Lousã,Município,Total,,,, euros,690.1
2009,Lousada,Município,Homens,,,, euros,628.1
2009,Lousada,Município,Mulheres,,,, euros,541.0
2009,Lousada,Município,Total,,,, euros,584.5
2009,Mação,Município,Homens,,,, euros,683.0
2009,Mação,Município,Mulheres,,,, euros,587.0
2009,Mação,Município,Total,,,, euros,642.3
2009,Macedo de Cavaleiros,Município,Homens,,,, euros,630.3
2009,Macedo de Cavaleiros,Município,Mulheres,,,, euros,586.7
2009,Macedo de Cavaleiros,Município,Total,,,, euros,612.9
2009,Machico,Município,Homens,,,, euros,826.3
2009,Machico,Município,Mulheres,,,, euros,647.8
2009,Machico,Município,Total,,,, euros,757.1
2009,Madalena,Município,Homens,,,, euros,709.7
2009,Madalena,Município,Mulheres,,,, euros,600.9
2009,Madalena,Município,Total,,,, euros,661.1
2009,Mafra,Município,Homens,,,, euros,748.4
2009,Mafra,Município,Mulheres,,,, euros,673.2
2009,Mafra,Município,Total,,,, euros,722.6
2009,Maia,Município,Homens,,,, euros,974.7
2009,Maia,Município,Mulheres,,,, euros,781.4
2009,Maia,Município,Total,,,, euros,904.9
2009,Mangualde,Município,Homens,,,, euros,750.2
2009,Mangualde,Município,Mulheres,,,, euros,619.3
2009,Mangualde,Município,Total,,,, euros,707.5
2009,Manteigas,Município,Homens,,,, euros,636.0
2009,Manteigas,Município,Mulheres,,,, euros,662.4
